,action,who,s_time,e_time,t_time,sub_action,action:sub_action
0,Child utterance,Child,15.96,16.98,1.02,utterance,Child utterance:utterance
1,Child utterance,Child,31.23,31.77,0.54,utterance,Child utterance:utterance
2,Child utterance,Child,32.22,33.04,0.82,utterance,Child utterance:utterance
3,Child utterance,Child,52.03,53.51,1.48,utterance,Child utterance:utterance
4,Child utterance,Child,73.02,73.52,0.5,utterance,Child utterance:utterance
5,Child utterance,Child,83.35,85.07,1.72,utterance,Child utterance:utterance
6,Child utterance,Child,85.57,87.78999999999999,2.22,utterance,Child utterance:utterance
7,Child utterance,Child,90.88,92.44,1.56,utterance,Child utterance:utterance
8,Child utterance,Child,92.88,93.4,0.52,utterance,Child utterance:utterance
9,Child utterance,Child,118.78,119.96000000000001,1.18,utterance,Child utterance:utterance
10,Child utterance,Child,125.25,126.35,1.1,utterance,Child utterance:utterance
11,Child utterance,Child,128.14,128.86,0.72,utterance,Child utterance:utterance
12,Child utterance,Child,138.02,139.54,1.52,utterance,Child utterance:utterance
13,Child utterance,Child,146.48,147.02,0.54,utterance,Child utterance:utterance
14,Child utterance,Child,156.97,158.59,1.62,utterance,Child utterance:utterance
15,Child utterance,Child,164.75,168.19,3.44,utterance,Child utterance:utterance
16,Child utterance,Child,266.6,267.26,0.66,utterance,Child utterance:utterance
17,Child utterance,Child,300.09,302.21,2.12,utterance,Child utterance:utterance
18,Child utterance,Child,305.42,307.56,2.14,utterance,Child utterance:utterance
19,Child utterance,Child,337.64,338.96,1.32,utterance,Child utterance:utterance
20,Child utterance,Child,386.04,386.56,0.52,utterance,Child utterance:utterance
21,Child utterance,Child,404.26,404.8,0.54,utterance,Child utterance:utterance
22,Child utterance,Child,408.05,408.57,0.52,utterance,Child utterance:utterance
23,Child gaze,Child,7.78,14.92,7.14,robot,Child gaze:robot
24,Child gaze,Child,14.98,18.3,3.32,parent,Child gaze:parent
25,Child gaze,Child,18.36,29.12,10.76,robot,Child gaze:robot
26,Child gaze,Child,29.18,31.18,2.0,props,Child gaze:props
27,Child gaze,Child,31.32,33.9,2.58,parent,Child gaze:parent
28,Child gaze,Child,40.11,40.39,0.28,parent,Child gaze:parent
29,Child gaze,Child,40.41,41.73,1.32,robot,Child gaze:robot
30,Child gaze,Child,41.85,46.99,5.14,props,Child gaze:props
31,Child gaze,Child,47.0,48.26,1.26,robot,Child gaze:robot
32,Child gaze,Child,48.35,50.03,1.68,props,Child gaze:props
33,Child gaze,Child,50.11,52.25,2.14,robot,Child gaze:robot
34,Child gaze,Child,52.3,53.98,1.68,parent,Child gaze:parent
35,Child gaze,Child,54.02,55.52,1.5,robot,Child gaze:robot
36,Child gaze,Child,55.57,56.15,0.58,props,Child gaze:props
37,Child gaze,Child,56.18,58.4,2.22,robot,Child gaze:robot
38,Child gaze,Child,58.45,59.69,1.24,props,Child gaze:props
39,Child gaze,Child,59.71,61.67,1.96,robot,Child gaze:robot
40,Child gaze,Child,61.71,64.65,2.94,props,Child gaze:props
41,Child gaze,Child,64.7,65.62,0.92,robot,Child gaze:robot
42,Child gaze,Child,65.68,70.62,4.94,props,Child gaze:props
43,Child gaze,Child,70.67,72.01,1.34,robot,Child gaze:robot
44,Child gaze,Child,72.06,72.98,0.92,props,Child gaze:props
45,Child gaze,Child,73.03999999999999,74.12,1.08,robot,Child gaze:robot
46,Child gaze,Child,74.18,77.18,3.0,props,Child gaze:props
47,Child gaze,Child,77.24,83.76,6.52,robot,Child gaze:robot
48,Child gaze,Child,83.82,85.98,2.16,parent,Child gaze:parent
49,Child gaze,Child,86.0,86.96000000000001,0.96,robot,Child gaze:robot
50,Child gaze,Child,87.0,88.38,1.38,parent,Child gaze:parent
51,Child gaze,Child,88.45,93.00999999999999,4.56,robot,Child gaze:robot
52,Child gaze,Child,93.05,94.33,1.28,parent,Child gaze:parent
53,Child gaze,Child,94.37,95.35,0.98,robot,Child gaze:robot
54,Child gaze,Child,95.38,107.5,12.12,props,Child gaze:props
55,Child gaze,Child,107.56,109.9,2.34,robot,Child gaze:robot
56,Child gaze,Child,111.72999999999999,116.07,4.34,robot,Child gaze:robot
57,Child gaze,Child,129.3,129.94,0.64,props,Child gaze:props
58,Child gaze,Child,129.98,130.78,0.8,robot,Child gaze:robot
59,Child gaze,Child,130.84,136.9,6.06,props,Child gaze:props
60,Child gaze,Child,136.95,140.05,3.1,parent,Child gaze:parent
61,Child gaze,Child,149.42000000000002,150.54,1.12,robot,Child gaze:robot
62,Child gaze,Child,150.88,155.28,4.4,props,Child gaze:props
63,Child gaze,Child,155.32,158.24,2.92,robot,Child gaze:robot
64,Child gaze,Child,158.32,159.46,1.14,parent,Child gaze:parent
65,Child gaze,Child,159.57,164.57,5.0,robot or prop,Child gaze:robot or prop
66,Child gaze,Child,164.63,170.15,5.52,parent,Child gaze:parent
67,Child gaze,Child,170.19,175.47,5.28,props,Child gaze:props
68,Child gaze,Child,175.55,179.15,3.6,robot,Child gaze:robot
69,Child gaze,Child,179.19,193.59,14.4,props,Child gaze:props
70,Child gaze,Child,193.63,194.59,0.96,parent,Child gaze:parent
71,Child gaze,Child,194.63,205.65,11.02,props,Child gaze:props
72,Child gaze,Child,205.66,208.22,2.56,robot,Child gaze:robot
73,Child gaze,Child,208.26,212.07999999999998,3.82,props,Child gaze:props
74,Child gaze,Child,212.09,216.75,4.66,parent,Child gaze:parent
75,Child gaze,Child,223.18,224.3,1.12,parent,Child gaze:parent
76,Child gaze,Child,225.72,227.07999999999998,1.36,parent,Child gaze:parent
77,Child gaze,Child,227.94,228.98,1.04,parent,Child gaze:parent
78,Child gaze,Child,229.04,230.18,1.14,robot,Child gaze:robot
79,Child gaze,Child,230.25,230.97,0.72,parent,Child gaze:parent
