,total time,count,normalized total time,normalized count
Child affect,139.56,33,0.3070762189755325,0.07261045590565042
Child affective touch,38.220000000000006,10,0.08409610983981695,0.022003168456257702
Child gaze,387.6,64,0.8528428093645486,0.1408202781200493
Child gesture,3.8400000000000003,3,0.008449216687202958,0.006600950536877311
Child prop manipulation,144.92000000000002,15,0.31886991726808667,0.03300475268438655
Child utterance,0.72,2,0.0015842281288505546,0.0044006336912515405
Conversational turns,27.079999999999927,7,0.0595845801795457,0.015402217919380392
Joint attention,81.09999999999994,36,0.17844569618024983,0.07921140644252773
Mutual gaze,13.259999999999962,9,0.02917620137299763,0.019802851610631934
Non-verbal scaffolding,106.07999999999998,47,0.2334096109839817,0.10341489174441121
Parent affect,30.919999999999998,13,0.06803379686674882,0.028604118993135013
Parent affective touch,158.37,28,0.34846417884175324,0.06160887167752157
Parent gaze,338.3400000000001,109,0.7444552015490233,0.23983453617320896
Parent gesture,44.76,30,0.09848618201020948,0.0660095053687731
Parent utterance,164.01999999999992,119,0.3608959690195387,0.26183770462946665
Verbal scaffolding,155.4799999999999,113,0.3421052631578946,0.24863580355571205
robot pointing,40.471999999999994,20,0.08905122337616617,0.044006336912515404
robot text,211.56399999999996,70,0.4655078331279704,0.15402217919380393
start-end,0.716,2,0.0015754268614680514,0.0044006336912515405
CP,3.444999999999993,1,0.007580091533180764,0.0022003168456257703
MG,13.259999999999962,9,0.02917620137299763,0.019802851610631934
PC,11.94999999999996,4,0.026293786305227867,0.008801267382503081
PCP,11.684999999999974,2,0.02571070234113707,0.0044006336912515405
affective,118.56999999999998,55,0.26089156838584754,0.12101742650941737
affective touch,196.58999999999995,38,0.43256028868157004,0.08361204013377928
child,360.6,72,0.7934342545326528,0.15842281288505547
cognitive,120.68000000000004,87,0.265534236930118,0.19142756556944202
end,0.476,1,0.0010473508185178666,0.0022003168456257703
instruction translation,18.19,14,0.04002376342193276,0.030804435838760785
other,17.468,9,0.038435134659390954,0.019802851610631934
parent,19.8,9,0.04356627354339025,0.019802851610631934
pick up,31.048000000000002,12,0.06831543742298891,0.026403802147509245
point at prop,88.31199999999998,52,0.194314381270903,0.11441647597254005
positive 1,149.44000000000003,41,0.32881534941031515,0.09021299067065658
positive 2,18.72,4,0.041189931350114416,0.008801267382503081
positive 3,2.32,1,0.005104735081851787,0.0022003168456257703
positive feedback,50.283,18,0.11063853194860061,0.03960570322126387
props,411.25999999999993,94,0.9049023059320541,0.20682978348882242
put down,31.097,12,0.06842325294842458,0.026403802147509245
robot,160.29999999999998,49,0.3527107903538109,0.10781552543566275
scaffolding,1.86,1,0.004092589332863933,0.0022003168456257703
song,40.571,1,0.08926905474388312,0.0022003168456257703
start,0.24,1,0.0005280760429501849,0.0022003168456257703
teach,33.66799999999999,15,0.07408026755852842,0.03300475268438655
technical,2.26,3,0.004972716071114241,0.006600950536877311
try again,8.189,4,0.018018394648829435,0.008801267382503081
utterance,164.73999999999995,121,0.3624801971483893,0.2662383383207182
Child affect:positive 1,126.76000000000003,30,0.2789121633515227,0.0660095053687731
Child affect:positive 2,10.48,2,0.023059320542158073,0.0044006336912515405
Child affect:positive 3,2.32,1,0.005104735081851787,0.0022003168456257703
Child affective touch:affective touch,38.220000000000006,10,0.08409610983981695,0.022003168456257702
Child gaze:parent,19.8,9,0.04356627354339025,0.019802851610631934
Child gaze:props,243.48,29,0.5357331455729625,0.06380918852314733
Child gaze:robot,124.32000000000002,26,0.2735433902481958,0.057208237986270026
Child gesture:point at prop,3.8400000000000003,3,0.008449216687202958,0.006600950536877311
Child prop manipulation:child,144.92000000000002,15,0.31886991726808667,0.03300475268438655
Child utterance:utterance,0.72,2,0.0015842281288505546,0.0044006336912515405
Conversational turns:CP,3.444999999999993,1,0.007580091533180764,0.0022003168456257703
Conversational turns:PC,11.94999999999996,4,0.026293786305227867,0.008801267382503081
Conversational turns:PCP,11.684999999999974,2,0.02571070234113707,0.0044006336912515405
Joint attention:props,73.15999999999994,29,0.16097518042598122,0.06380918852314733
Joint attention:robot,7.939999999999991,7,0.017470515754268594,0.015402217919380392
Mutual gaze:MG,13.259999999999962,9,0.02917620137299763,0.019802851610631934
Non-verbal scaffolding:affective,61.36000000000001,17,0.1350114416475973,0.037405386375638096
Non-verbal scaffolding:cognitive,44.0,29,0.0968139412075339,0.06380918852314733
Non-verbal scaffolding:technical,0.72,1,0.0015842281288505546,0.0022003168456257703
Parent affect:positive 1,22.68,11,0.04990318605879247,0.024203485301883473
Parent affect:positive 2,8.24,2,0.018130610807956346,0.0044006336912515405
Parent affective touch:affective touch,158.37,28,0.34846417884175324,0.06160887167752157
Parent gaze:child,215.67999999999998,57,0.4745643372645661,0.1254180602006689
Parent gaze:props,94.61999999999999,36,0.20819397993311037,0.07921140644252773
Parent gaze:robot,28.040000000000003,16,0.061696884351346605,0.035205069530012324
Parent gesture:other,0.76,1,0.0016722408026755855,0.0022003168456257703
Parent gesture:point at prop,44.0,29,0.0968139412075339,0.06380918852314733
Parent utterance:utterance,164.01999999999992,119,0.3608959690195387,0.26183770462946665
Verbal scaffolding:affective,57.21,38,0.12588012673825033,0.08361204013377928
Verbal scaffolding:cognitive,76.68,58,0.16872029572258407,0.12761837704629467
Verbal scaffolding:instruction translation,18.19,14,0.04002376342193276,0.030804435838760785
Verbal scaffolding:scaffolding,1.86,1,0.004092589332863933,0.0022003168456257703
Verbal scaffolding:technical,1.54,2,0.0033884879422636863,0.0044006336912515405
robot pointing:point at prop,40.471999999999994,20,0.08905122337616617,0.044006336912515404
robot text:other,16.708000000000002,8,0.03676289385671538,0.017602534765006162
robot text:pick up,31.048000000000002,12,0.06831543742298891,0.026403802147509245
robot text:positive feedback,50.283,18,0.11063853194860061,0.03960570322126387
robot text:put down,31.097,12,0.06842325294842458,0.026403802147509245
robot text:song,40.571,1,0.08926905474388312,0.0022003168456257703
robot text:teach,33.66799999999999,15,0.07408026755852842,0.03300475268438655
robot text:try again,8.189,4,0.018018394648829435,0.008801267382503081
start-end:end,0.476,1,0.0010473508185178666,0.0022003168456257703
start-end:start,0.24,1,0.0005280760429501849,0.0022003168456257703
