,action,who,s_time,e_time,t_time,sub_action,action:sub_action
0,Child utterance,Child,220.87,221.13,0.26,utterance,Child utterance:utterance
1,Child utterance,Child,237.38,237.84,0.46,utterance,Child utterance:utterance
2,Child gaze,Child,6.53,16.73,10.2,robot,Child gaze:robot
3,Child gaze,Child,18.84,40.8,21.96,robot,Child gaze:robot
4,Child gaze,Child,42.14,49.5,7.36,props,Child gaze:props
5,Child gaze,Child,51.1,52.38,1.28,props,Child gaze:props
6,Child gaze,Child,52.46,53.9,1.44,robot,Child gaze:robot
7,Child gaze,Child,54.06,63.26,9.2,props,Child gaze:props
8,Child gaze,Child,63.54,86.34,22.8,robot,Child gaze:robot
9,Child gaze,Child,86.5,88.7,2.2,props,Child gaze:props
10,Child gaze,Child,88.8,91.48,2.68,robot,Child gaze:robot
11,Child gaze,Child,91.58,97.86,6.28,props,Child gaze:props
12,Child gaze,Child,97.92,108.4,10.48,robot,Child gaze:robot
13,Child gaze,Child,108.47999999999999,112.84,4.36,props,Child gaze:props
14,Child gaze,Child,112.94,116.66,3.72,robot,Child gaze:robot
15,Child gaze,Child,127.24,130.48,3.24,props,Child gaze:props
16,Child gaze,Child,130.58,131.7,1.12,robot,Child gaze:robot
17,Child gaze,Child,138.1,141.54,3.44,props,Child gaze:props
18,Child gaze,Child,141.62,143.62,2.0,parent,Child gaze:parent
19,Child gaze,Child,143.74,145.02,1.28,robot,Child gaze:robot
20,Child gaze,Child,145.1,151.82,6.72,props,Child gaze:props
21,Child gaze,Child,151.9,154.82,2.92,robot,Child gaze:robot
22,Child gaze,Child,154.88,163.8,8.92,props,Child gaze:props
23,Child gaze,Child,163.9,165.26,1.36,parent,Child gaze:parent
24,Child gaze,Child,166.57999999999998,180.18,13.6,props,Child gaze:props
25,Child gaze,Child,180.34,183.18,2.84,parent,Child gaze:parent
26,Child gaze,Child,184.56,191.6,7.04,robot,Child gaze:robot
27,Child gaze,Child,191.8,200.07999999999998,8.28,props,Child gaze:props
28,Child gaze,Child,200.3,201.57999999999998,1.28,parent,Child gaze:parent
29,Child gaze,Child,201.78,210.62,8.84,props,Child gaze:props
