,total time,count,normalized total time,normalized count
Child affect:positive 2,47.63999999999999,16,0.15896691526102405,0.053389392195138226
Child affect:positive 3,5.010000000000001,2,0.01671755343110266,0.006673674024392278
Child gaze:parent,0.71,1,0.002369154278659259,0.003336837012196139
Child gaze:tablet,283.63,4,0.946427081769191,0.013347348048784556
Child gesture:point at prop,4.28,4,0.014281662412199476,0.013347348048784556
Child prop manipulation:child,45.279999999999994,33,0.15109197991224116,0.1101156214024726
Child utterance:utterance,24.85,25,0.08292039975307407,0.08342092530490348
Conversational turns:CP,65.55799999999995,16,0.21875636084555433,0.053389392195138226
Conversational turns:CPC,92.758,10,0.3095183275772895,0.033368370121961394
Conversational turns:PC,116.58199999999988,26,0.3890151325558499,0.08675776231709963
Conversational turns:PCP,136.3199999999999,18,0.4548776215025774,0.0600630662195305
Joint attention:tablet,245.92000000000002,18,0.8205949580392746,0.0600630662195305
Mutual gaze:MG,0.710000000000008,1,0.0023691542786592854,0.003336837012196139
Parent affect:positive 1,6.609999999999999,2,0.022056492650616478,0.006673674024392278
Parent affect:positive 2,6.779999999999999,4,0.02262375494268982,0.013347348048784556
Parent affect:positive 3,1.01,1,0.0033702053823181006,0.003336837012196139
Parent affective touch:affective touch,10.37,1,0.03460299981647396,0.003336837012196139
Parent gaze:child,39.4,14,0.13147137828052788,0.04671571817074595
Parent gaze:tablet,247.06,17,0.8243989522331782,0.05672622920733437
Parent gesture:point at prop,10.859999999999998,13,0.036238049952450065,0.04337888115854981
Parent prop manipulation:parent,5.0,6,0.016684185060980697,0.020021022073176836
Parent utterance:missing data,0.73,1,0.0024358910189031815,0.003336837012196139
Parent utterance:utterance,92.00999999999999,62,0.30702237349216677,0.20688389475616065
Verbal scaffolding:affective,6.300000000000001,5,0.02102207317683568,0.016684185060980697
Verbal scaffolding:cognitive,58.000000000000014,37,0.19353654670737613,0.12346296945125715
Verbal scaffolding:instruction translation,19.639999999999997,14,0.06553547891953217,0.04671571817074595
Verbal scaffolding:scaffolding,1.05,1,0.0035036788628059466,0.003336837012196139
Verbal scaffolding:technical,7.02,5,0.023424595825616897,0.016684185060980697
robot pointing:point at prop,17.374,10,0.05797420624989572,0.033368370121961394
robot text:correction,7.741,4,0.025830455311410313,0.013347348048784556
robot text:other,7.058,4,0.02355139563208035,0.013347348048784556
robot text:pick up,19.123,11,0.06381033418422677,0.03670520713415753
robot text:positive feedback,22.198999999999998,10,0.07407444483374209,0.033368370121961394
robot text:put down,9.275,5,0.030949163288119193,0.016684185060980697
robot text:teach,20.318,10,0.06779785441380116,0.033368370121961394
robot text:try again,5.563000000000001,4,0.018562824298847126,0.013347348048784556
start-end:end,0.128,1,0.00042711513756110584,0.003336837012196139
start-end:start,0.06,1,0.00020021022073176835,0.003336837012196139
