,total time,count,normalized total time,normalized count
Child affect,99.49500000000002,39,0.3319985985284549,0.13013664347564943
Child gaze,284.34000000000003,5,0.9487962360478503,0.016684185060980697
Child gesture,4.28,4,0.014281662412199476,0.013347348048784556
Child prop manipulation,45.279999999999994,33,0.15109197991224116,0.1101156214024726
Child utterance,24.85,25,0.08292039975307407,0.08342092530490348
Conversational turns,411.21799999999985,70,1.3721674424812715,0.23357859085372976
Joint attention,245.92000000000002,18,0.8205949580392746,0.0600630662195305
Mutual gaze,0.710000000000008,1,0.0023691542786592854,0.003336837012196139
Parent affect,14.399999999999999,7,0.0480504529756244,0.023357859085372974
Parent affective touch,10.37,1,0.03460299981647396,0.003336837012196139
Parent gaze,286.46,31,0.955870330513706,0.10344194737808032
Parent gesture,10.859999999999998,13,0.036238049952450065,0.04337888115854981
Parent prop manipulation,5.0,6,0.016684185060980697,0.020021022073176836
Parent utterance,92.74,63,0.30945826451106995,0.21022073176835676
Verbal scaffolding,92.00999999999999,62,0.30702237349216677,0.20688389475616065
robot pointing,17.374,10,0.05797420624989572,0.033368370121961394
robot text,91.277,48,0.304576471962227,0.16016817658541468
start-end,0.188,2,0.0006273253582928742,0.006673674024392278
CP,65.55799999999995,16,0.21875636084555433,0.053389392195138226
CPC,92.758,10,0.3095183275772895,0.033368370121961394
MG,0.710000000000008,1,0.0023691542786592854,0.003336837012196139
PC,116.58199999999988,26,0.3890151325558499,0.08675776231709963
PCP,136.3199999999999,18,0.4548776215025774,0.0600630662195305
affective,6.300000000000001,5,0.02102207317683568,0.016684185060980697
affective touch,10.37,1,0.03460299981647396,0.003336837012196139
child,84.67999999999999,47,0.28256335819276907,0.15683133957321854
cognitive,58.000000000000014,37,0.19353654670737613,0.12346296945125715
correction,7.741,4,0.025830455311410313,0.013347348048784556
end,0.128,1,0.00042711513756110584,0.003336837012196139
instruction translation,19.639999999999997,14,0.06553547891953217,0.04671571817074595
missing data,0.73,1,0.0024358910189031815,0.003336837012196139
other,7.058,4,0.02355139563208035,0.013347348048784556
parent,5.709999999999999,7,0.01905333933963995,0.023357859085372974
pick up,19.123,11,0.06381033418422677,0.03670520713415753
point at prop,32.51400000000001,27,0.1084939186145453,0.09009459932929575
positive 1,53.455,23,0.17837062248694463,0.0767472512805112
positive 2,54.419999999999995,20,0.1815906702037139,0.06673674024392279
positive 3,6.0200000000000005,3,0.02008775881342076,0.010010511036588418
positive feedback,22.198999999999998,10,0.07407444483374209,0.033368370121961394
put down,9.275,5,0.030949163288119193,0.016684185060980697
scaffolding,1.05,1,0.0035036788628059466,0.003336837012196139
start,0.06,1,0.00020021022073176835,0.003336837012196139
tablet,776.6100000000002,39,2.5914209920416447,0.13013664347564943
teach,20.318,10,0.06779785441380116,0.033368370121961394
technical,7.02,5,0.023424595825616897,0.016684185060980697
try again,5.563000000000001,4,0.018562824298847126,0.013347348048784556
utterance,116.85999999999999,87,0.3899427732452408,0.2903048200610641
Child affect:positive 1,46.845,21,0.15631412983632814,0.07007357725611893
