"","id","gender","time","performance","feedback","activity"
"109",10,1,1,96.5042581,"negative","emg_bi"
"110",10,1,2,97.0836147,"negative","emg_bi"
"111",10,1,3,94.143271,"negative","emg_bi"
"112",10,1,4,95.7767952,"negative","emg_bi"
"113",10,1,5,93.7250888,"negative","emg_bi"
"114",10,1,6,92.056716,"negative","emg_bi"
"115",10,1,7,92.2353146,"negative","emg_bi"
"116",10,1,8,89.1860693,"negative","emg_bi"
"117",10,1,9,86.3633394,"negative","emg_bi"
"118",10,1,10,86.8381504,"negative","emg_bi"
"119",10,1,11,87.3521661,"negative","emg_bi"
"120",10,1,12,87.8574696,"negative","emg_bi"
"121",11,1,1,95.6330477,"negative","emg_bi"
"122",11,1,2,93.4885213,"negative","emg_bi"
"123",11,1,3,97.1864547,"negative","emg_bi"
"124",11,1,4,91.687669,"negative","emg_bi"
"125",11,1,5,92.686615,"negative","emg_bi"
"126",11,1,6,91.5960225,"negative","emg_bi"
"127",11,1,7,92.1550658,"negative","emg_bi"
"128",11,1,8,94.4049856,"negative","emg_bi"
"129",11,1,9,91.2706777,"negative","emg_bi"
"130",11,1,10,92.4529166,"negative","emg_bi"
"131",11,1,11,91.2844247,"negative","emg_bi"
"132",11,1,12,92.8744902,"negative","emg_bi"
"133",12,2,1,85.1231205,"negative","emg_bi"
"134",12,2,2,96.6027457,"negative","emg_bi"
"135",12,2,3,109.948791,"negative","emg_bi"
"136",12,2,4,65.5633036,"negative","emg_bi"
"137",12,2,5,72.9962955,"negative","emg_bi"
"138",12,2,6,80.131837,"negative","emg_bi"
"139",12,2,7,87.9505339,"negative","emg_bi"
"140",12,2,8,83.0213554,"negative","emg_bi"
"141",12,2,9,81.2922205,"negative","emg_bi"
"142",12,2,10,61.4284158,"negative","emg_bi"
"143",12,2,11,62.5495751,"negative","emg_bi"
"144",12,2,12,55.0152539,"negative","emg_bi"
"145",13,2,1,105.121964,"negative","emg_bi"
"146",13,2,2,100.753441,"negative","emg_bi"
"147",13,2,3,99.9731553,"negative","emg_bi"
"148",13,2,4,125.427278,"negative","emg_bi"
"149",13,2,5,123.064946,"negative","emg_bi"
"150",13,2,6,119.806002,"negative","emg_bi"
"151",13,2,7,111.863557,"negative","emg_bi"
"152",13,2,8,129.709899,"negative","emg_bi"
"153",13,2,9,100.45457,"negative","emg_bi"
"154",13,2,10,104.622653,"negative","emg_bi"
"155",13,2,11,103.038817,"negative","emg_bi"
"156",13,2,12,108.579559,"negative","emg_bi"
"157",14,2,1,97.6023058,"negative","emg_bi"
"158",14,2,2,96.7277064,"negative","emg_bi"
"159",14,2,3,96.4345169,"negative","emg_bi"
"160",14,2,4,93.6666087,"negative","emg_bi"
"161",14,2,5,81.4768803,"negative","emg_bi"
"162",14,2,6,86.6052128,"negative","emg_bi"
"163",14,2,7,90.9633016,"negative","emg_bi"
"164",14,2,8,85.2833752,"negative","emg_bi"
"165",14,2,9,88.5631227,"negative","emg_bi"
"166",14,2,10,88.2401173,"negative","emg_bi"
"167",14,2,11,83.0869382,"negative","emg_bi"
"168",14,2,12,86.5803662,"negative","emg_bi"
"169",15,2,1,70.3006054,"negative","emg_bi"
"170",15,2,2,86.3448276,"negative","emg_bi"
"171",15,2,3,82.2111082,"negative","emg_bi"
"172",15,2,4,76.5738352,"negative","emg_bi"
"173",15,2,5,73.2845486,"negative","emg_bi"
"174",15,2,6,67.2956041,"negative","emg_bi"
"175",15,2,7,62.8986575,"negative","emg_bi"
"176",15,2,8,80.3432482,"negative","emg_bi"
"177",15,2,9,80.0084233,"negative","emg_bi"
"178",15,2,10,82.2974467,"negative","emg_bi"
"179",15,2,11,77.1613583,"negative","emg_bi"
"180",15,2,12,85.7193998,"negative","emg_bi"
"181",16,2,1,98.1081081,"negative","emg_bi"
"182",16,2,2,98.5681426,"negative","emg_bi"
"183",16,2,3,100.782059,"negative","emg_bi"
"184",16,2,4,105.503163,"negative","emg_bi"
"185",16,2,5,104.39908,"negative","emg_bi"
"186",16,2,6,99.9712478,"negative","emg_bi"
"187",16,2,7,99.1719379,"negative","emg_bi"
"188",16,2,8,98.3381254,"negative","emg_bi"
"189",16,2,9,97.8205865,"negative","emg_bi"
"190",16,2,10,96.6359977,"negative","emg_bi"
"191",16,2,11,99.3156987,"negative","emg_bi"
"192",16,2,12,96.0552041,"negative","emg_bi"
"193",17,2,1,85.6410369,"negative","emg_bi"
"194",17,2,2,104.42102,"negative","emg_bi"
"195",17,2,3,120.573478,"negative","emg_bi"
"196",17,2,4,108.932265,"negative","emg_bi"
"197",17,2,5,107.814357,"negative","emg_bi"
"198",17,2,6,92.0448044,"negative","emg_bi"
"199",17,2,7,92.7732054,"negative","emg_bi"
"200",17,2,8,106.573214,"negative","emg_bi"
"201",17,2,9,108.454734,"negative","emg_bi"
"202",17,2,10,100.277277,"negative","emg_bi"
"203",17,2,11,108.483341,"negative","emg_bi"
"204",17,2,12,107.882576,"negative","emg_bi"
"205",18,2,1,82.5141804,"negative","emg_bi"
"206",18,2,2,106.990873,"negative","emg_bi"
"207",18,2,3,99.2225965,"negative","emg_bi"
"208",18,2,4,105.890991,"negative","emg_bi"
"209",18,2,5,106.92177,"negative","emg_bi"
"210",18,2,6,90.0031672,"negative","emg_bi"
"211",18,2,7,91.4687167,"negative","emg_bi"
"212",18,2,8,100.014396,"negative","emg_bi"
"213",18,2,9,92.456307,"negative","emg_bi"
"214",18,2,10,87.3168063,"negative","emg_bi"
"215",18,2,11,90.4926435,"negative","emg_bi"
"216",18,2,12,85.0968875,"negative","emg_bi"
"217",19,2,1,67.2203512,"negative","emg_bi"
