,col base,action base,col count,action count,hist,bins
0,action,Child affect,action,Child gaze,[2 4 5 7 1 1 1],[-3 -2 -1  0  1  2  3  4]
1,action,Child affect,action,Child gesture,[0 0 0 1 0 0 1],[-3 -2 -1  0  1  2  3  4]
2,action,Child affect,action,Child prop manipulation,[0 0 0 0 2 0 0],[-3 -2 -1  0  1  2  3  4]
3,action,Child affect,action,Child utterance,[0 2 1 0 2 0 0],[-3 -2 -1  0  1  2  3  4]
4,action,Child affect,action,Conversational turns,[0 2 4 0 1 0 2],[-3 -2 -1  0  1  2  3  4]
5,action,Child affect,action,Non-verbal scaffolding,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
6,action,Child affect,action,Parent gesture,[0 0 0 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
7,action,Child affect,action,Parent prop manipulation,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
8,action,Child affect,action,Parent utterance,[0 0 6 0 4 2 4],[-3 -2 -1  0  1  2  3  4]
9,action,Child affect,action,Verbal scaffolding,[0 0 4 0 4 1 3],[-3 -2 -1  0  1  2  3  4]
10,action,Child affect,action,robot pointing,[0 0 0 1 0 0 1],[-3 -2 -1  0  1  2  3  4]
11,action,Child affect,action,robot text,[3 0 1 3 1 1 1],[-3 -2 -1  0  1  2  3  4]
12,action,Child affect,action,start-end,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
13,action,Child affect,sub_action,CP,[0 2 1 0 1 0 0],[-3 -2 -1  0  1  2  3  4]
14,action,Child affect,sub_action,CPC,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
15,action,Child affect,sub_action,PC,[0 0 2 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
16,action,Child affect,sub_action,PCP,[0 0 1 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
17,action,Child affect,sub_action,affective,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
18,action,Child affect,sub_action,child,[0 0 0 0 2 0 0],[-3 -2 -1  0  1  2  3  4]
19,action,Child affect,sub_action,cognitive,[0 0 4 0 4 1 3],[-3 -2 -1  0  1  2  3  4]
20,action,Child affect,sub_action,end,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
21,action,Child affect,sub_action,other,[0 0 0 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
22,action,Child affect,sub_action,parent,[2 3 3 0 1 0 1],[-3 -2 -1  0  1  2  3  4]
23,action,Child affect,sub_action,pick up,[1 0 1 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
24,action,Child affect,sub_action,point at prop,[0 0 0 2 0 0 3],[-3 -2 -1  0  1  2  3  4]
25,action,Child affect,sub_action,positive 1,[1 4 2 0 1 0 1],[-3 -2 -1  0  1  2  3  4]
26,action,Child affect,sub_action,positive 2,[0 2 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
27,action,Child affect,sub_action,positive feedback,[0 0 0 0 0 1 0],[-3 -2 -1  0  1  2  3  4]
28,action,Child affect,sub_action,put down,[1 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
29,action,Child affect,sub_action,song,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
30,action,Child affect,sub_action,start,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
31,action,Child affect,sub_action,tablet,[0 1 2 7 0 1 0],[-3 -2 -1  0  1  2  3  4]
32,action,Child affect,sub_action,teach,[1 0 0 1 0 0 1],[-3 -2 -1  0  1  2  3  4]
33,action,Child affect,sub_action,technical,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
34,action,Child affect,sub_action,try again,[0 0 0 0 1 0 0],[-3 -2 -1  0  1  2  3  4]
35,action,Child affect,sub_action,utterance,[0 2 7 0 6 2 4],[-3 -2 -1  0  1  2  3  4]
36,action,Child affect,action:sub_action,Child affect:positive 1,[1 4 2 0 1 0 1],[-3 -2 -1  0  1  2  3  4]
37,action,Child affect,action:sub_action,Child affect:positive 2,[0 2 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
38,action,Child affect,action:sub_action,Child gaze:parent,[2 3 3 0 1 0 1],[-3 -2 -1  0  1  2  3  4]
39,action,Child affect,action:sub_action,Child gaze:tablet,[0 1 2 7 0 1 0],[-3 -2 -1  0  1  2  3  4]
40,action,Child affect,action:sub_action,Child gesture:point at prop,[0 0 0 1 0 0 1],[-3 -2 -1  0  1  2  3  4]
41,action,Child affect,action:sub_action,Child prop manipulation:child,[0 0 0 0 2 0 0],[-3 -2 -1  0  1  2  3  4]
42,action,Child affect,action:sub_action,Child utterance:utterance,[0 2 1 0 2 0 0],[-3 -2 -1  0  1  2  3  4]
43,action,Child affect,action:sub_action,Conversational turns:CP,[0 2 1 0 1 0 0],[-3 -2 -1  0  1  2  3  4]
44,action,Child affect,action:sub_action,Conversational turns:CPC,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
45,action,Child affect,action:sub_action,Conversational turns:PC,[0 0 2 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
46,action,Child affect,action:sub_action,Conversational turns:PCP,[0 0 1 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
47,action,Child affect,action:sub_action,Non-verbal scaffolding:technical,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
48,action,Child affect,action:sub_action,Parent gesture:point at prop,[0 0 0 0 0 0 1],[-3 -2 -1  0  1  2  3  4]
49,action,Child affect,action:sub_action,Parent prop manipulation:parent,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
50,action,Child affect,action:sub_action,Parent utterance:utterance,[0 0 6 0 4 2 4],[-3 -2 -1  0  1  2  3  4]
51,action,Child affect,action:sub_action,Verbal scaffolding:affective,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
52,action,Child affect,action:sub_action,Verbal scaffolding:cognitive,[0 0 4 0 4 1 3],[-3 -2 -1  0  1  2  3  4]
53,action,Child affect,action:sub_action,Verbal scaffolding:technical,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
54,action,Child affect,action:sub_action,robot pointing:point at prop,[0 0 0 1 0 0 1],[-3 -2 -1  0  1  2  3  4]
55,action,Child affect,action:sub_action,robot text:other,[0 0 0 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
56,action,Child affect,action:sub_action,robot text:pick up,[1 0 1 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
57,action,Child affect,action:sub_action,robot text:positive feedback,[0 0 0 0 0 1 0],[-3 -2 -1  0  1  2  3  4]
58,action,Child affect,action:sub_action,robot text:put down,[1 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
59,action,Child affect,action:sub_action,robot text:song,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
60,action,Child affect,action:sub_action,robot text:teach,[1 0 0 1 0 0 1],[-3 -2 -1  0  1  2  3  4]
61,action,Child affect,action:sub_action,robot text:try again,[0 0 0 0 1 0 0],[-3 -2 -1  0  1  2  3  4]
62,action,Child affect,action:sub_action,start-end:end,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
63,action,Child affect,action:sub_action,start-end:start,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
64,action,Child gaze,action,Child affect,[4 4 8 3 1 1 1],[-3 -2 -1  0  1  2  3  4]
65,action,Child gaze,action,Child gesture,[0 1 1 1 1 0 0],[-3 -2 -1  0  1  2  3  4]
66,action,Child gaze,action,Child prop manipulation,[1 1 0 1 7 1 2],[-3 -2 -1  0  1  2  3  4]
67,action,Child gaze,action,Child utterance,[2 1 3 3 1 1 1],[-3 -2 -1  0  1  2  3  4]
68,action,Child gaze,action,Conversational turns,[3 1 6 4 1 1 2],[-3 -2 -1  0  1  2  3  4]
69,action,Child gaze,action,Non-verbal scaffolding,[1 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
70,action,Child gaze,action,Parent gesture,[0 0 0 0 1 1 1],[-3 -2 -1  0  1  2  3  4]
71,action,Child gaze,action,Parent prop manipulation,[1 0 1 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
72,action,Child gaze,action,Parent utterance,[ 3  2 10 13  5  6 10],[-3 -2 -1  0  1  2  3  4]
73,action,Child gaze,action,Verbal scaffolding,[ 2  1  7 10  4  5  7],[-3 -2 -1  0  1  2  3  4]
74,action,Child gaze,action,robot pointing,[4 1 1 1 2 2 2],[-3 -2 -1  0  1  2  3  4]
75,action,Child gaze,action,robot text,[8 6 2 5 7 7 4],[-3 -2 -1  0  1  2  3  4]
76,action,Child gaze,action,start-end,[0 0 0 0 0 1 0],[-3 -2 -1  0  1  2  3  4]
77,action,Child gaze,sub_action,CP,[1 1 3 2 0 1 0],[-3 -2 -1  0  1  2  3  4]
78,action,Child gaze,sub_action,CPC,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
79,action,Child gaze,sub_action,PC,[1 0 2 1 1 0 1],[-3 -2 -1  0  1  2  3  4]
80,action,Child gaze,sub_action,PCP,[1 0 1 1 0 0 1],[-3 -2 -1  0  1  2  3  4]
81,action,Child gaze,sub_action,affective,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
82,action,Child gaze,sub_action,child,[1 1 0 1 7 1 2],[-3 -2 -1  0  1  2  3  4]
83,action,Child gaze,sub_action,cognitive,[ 2  1  7 10  4  5  7],[-3 -2 -1  0  1  2  3  4]
84,action,Child gaze,sub_action,end,[0 0 0 0 0 1 0],[-3 -2 -1  0  1  2  3  4]
85,action,Child gaze,sub_action,other,[1 0 0 0 1 0 0],[-3 -2 -1  0  1  2  3  4]
86,action,Child gaze,sub_action,parent,[ 5  8  4 16  0  1  1],[-3 -2 -1  0  1  2  3  4]
87,action,Child gaze,sub_action,pick up,[1 2 0 3 2 1 0],[-3 -2 -1  0  1  2  3  4]
88,action,Child gaze,sub_action,point at prop,[4 2 2 2 4 3 3],[-3 -2 -1  0  1  2  3  4]
89,action,Child gaze,sub_action,positive 1,[2 3 5 3 1 1 1],[-3 -2 -1  0  1  2  3  4]
90,action,Child gaze,sub_action,positive 2,[2 1 3 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
91,action,Child gaze,sub_action,positive feedback,[1 0 1 0 1 1 2],[-3 -2 -1  0  1  2  3  4]
92,action,Child gaze,sub_action,put down,[0 1 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
93,action,Child gaze,sub_action,song,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
94,action,Child gaze,sub_action,start,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
95,action,Child gaze,sub_action,tablet,[ 1  2  0 19  9  5  2],[-3 -2 -1  0  1  2  3  4]
96,action,Child gaze,sub_action,teach,[3 3 1 2 2 4 2],[-3 -2 -1  0  1  2  3  4]
97,action,Child gaze,sub_action,technical,[1 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
98,action,Child gaze,sub_action,try again,[2 0 0 0 1 1 0],[-3 -2 -1  0  1  2  3  4]
99,action,Child gaze,sub_action,utterance,[ 5  3 13 16  6  7 11],[-3 -2 -1  0  1  2  3  4]
100,action,Child gaze,action:sub_action,Child affect:positive 1,[2 3 5 3 1 1 1],[-3 -2 -1  0  1  2  3  4]
101,action,Child gaze,action:sub_action,Child affect:positive 2,[2 1 3 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
102,action,Child gaze,action:sub_action,Child gaze:parent,[ 4  8  3 15  0  1  1],[-3 -2 -1  0  1  2  3  4]
103,action,Child gaze,action:sub_action,Child gaze:tablet,[ 1  2  0 19  9  5  2],[-3 -2 -1  0  1  2  3  4]
104,action,Child gaze,action:sub_action,Child gesture:point at prop,[0 1 1 1 1 0 0],[-3 -2 -1  0  1  2  3  4]
105,action,Child gaze,action:sub_action,Child prop manipulation:child,[1 1 0 1 7 1 2],[-3 -2 -1  0  1  2  3  4]
106,action,Child gaze,action:sub_action,Child utterance:utterance,[2 1 3 3 1 1 1],[-3 -2 -1  0  1  2  3  4]
107,action,Child gaze,action:sub_action,Conversational turns:CP,[1 1 3 2 0 1 0],[-3 -2 -1  0  1  2  3  4]
108,action,Child gaze,action:sub_action,Conversational turns:CPC,[0 0 0 0 0 0 0],[-3 -2 -1  0  1  2  3  4]
