,action,who,s_time,e_time,t_time,sub_action,action:sub_action
0,Child utterance,Child,156.47,157.05,0.58,utterance,Child utterance:utterance
1,Child utterance,Child,188.73,189.17,0.44,utterance,Child utterance:utterance
2,Child utterance,Child,232.48,233.1,0.62,utterance,Child utterance:utterance
3,Child utterance,Child,255.5,257.02,1.52,utterance,Child utterance:utterance
4,Child utterance,Child,291.25,291.79,0.54,utterance,Child utterance:utterance
5,Child utterance,Child,295.17,296.13,0.96,utterance,Child utterance:utterance
6,Child utterance,Child,351.26,351.88,0.62,utterance,Child utterance:utterance
7,Child utterance,Child,384.24,384.7,0.46,utterance,Child utterance:utterance
8,Child utterance,Child,385.91,386.25,0.34,utterance,Child utterance:utterance
9,Child utterance,Child,411.88,412.52,0.64,utterance,Child utterance:utterance
10,Child utterance,Child,413.72,414.7,0.98,utterance,Child utterance:utterance
11,Child gaze,Child,4.63,35.36,30.73,tablet,Child gaze:tablet
12,Child gaze,Child,37.2,63.52,26.32,tablet,Child gaze:tablet
13,Child gaze,Child,65.56,78.36,12.8,tablet,Child gaze:tablet
14,Child gaze,Child,78.4,79.72,1.32,parent,Child gaze:parent
15,Child gaze,Child,79.86,83.14,3.28,tablet,Child gaze:tablet
16,Child gaze,Child,83.22,83.98,0.76,parent,Child gaze:parent
17,Child gaze,Child,84.08,116.03999999999999,31.96,tablet,Child gaze:tablet
18,Child gaze,Child,116.14,116.7,0.56,parent,Child gaze:parent
19,Child gaze,Child,116.78,142.46,25.68,tablet,Child gaze:tablet
20,Child gaze,Child,143.38,145.3,1.92,tablet,Child gaze:tablet
21,Child gaze,Child,145.34,146.5,1.16,parent,Child gaze:parent
22,Child gaze,Child,146.52,162.28,15.76,tablet,Child gaze:tablet
23,Child gaze,Child,169.32,188.84,19.52,tablet,Child gaze:tablet
24,Child gaze,Child,188.96,190.44,1.48,parent,Child gaze:parent
25,Child gaze,Child,190.54,195.46,4.92,tablet,Child gaze:tablet
26,Child gaze,Child,195.52,196.68,1.16,parent,Child gaze:parent
27,Child gaze,Child,196.78,198.18,1.4,tablet,Child gaze:tablet
28,Child gaze,Child,200.2,202.48,2.28,tablet,Child gaze:tablet
29,Child gaze,Child,202.62,204.74,2.12,parent,Child gaze:parent
30,Child gaze,Child,204.8,219.12,14.32,tablet,Child gaze:tablet
31,Child gaze,Child,219.16,220.68,1.52,parent,Child gaze:parent
32,Child gaze,Child,220.8,228.96,8.16,tablet,Child gaze:tablet
33,Child gaze,Child,229.04,231.4,2.36,parent,Child gaze:parent
34,Child gaze,Child,231.5,255.42,23.92,tablet,Child gaze:tablet
35,Child gaze,Child,255.54,257.78,2.24,parent,Child gaze:parent
36,Child gaze,Child,257.86,265.18,7.32,tablet,Child gaze:tablet
37,Child gaze,Child,265.24,266.48,1.24,parent,Child gaze:parent
38,Child gaze,Child,266.58,276.1,9.52,tablet,Child gaze:tablet
39,Child gaze,Child,276.22,276.78,0.56,parent,Child gaze:parent
40,Child gaze,Child,276.86,295.65999999999997,18.8,tablet,Child gaze:tablet
41,Child gaze,Child,295.78,297.26,1.48,parent,Child gaze:parent
42,Child gaze,Child,297.32,301.0,3.68,tablet,Child gaze:tablet
43,Child gaze,Child,392.0,400.36,8.36,tablet,Child gaze:tablet
44,Child gaze,Child,400.5,403.62,3.12,parent,Child gaze:parent
45,Child gaze,Child,403.74,411.5,7.76,tablet,Child gaze:tablet
46,Child gaze,Child,411.62,412.82,1.2,parent,Child gaze:parent
47,Child gaze,Child,412.94,417.3,4.36,tablet,Child gaze:tablet
48,Child affect,Child,77.9,79.6,1.7,positive 2,Child affect:positive 2
49,Child affect,Child,83.15,84.05,0.9,positive 1,Child affect:positive 1
50,Child affect,Child,142.4,143.8,1.4,positive 1,Child affect:positive 1
51,Child affect,Child,145.28,146.68,1.4,positive 1,Child affect:positive 1
52,Child affect,Child,188.78,190.38,1.6,positive 1,Child affect:positive 1
53,Child affect,Child,230.84,231.44,0.6,positive 1,Child affect:positive 1
54,Child affect,Child,255.22,259.18,3.96,positive 2,Child affect:positive 2
55,Child affect,Child,295.12,296.72,1.6,positive 2,Child affect:positive 2
56,Child affect,Child,400.76,403.28,2.52,positive 1,Child affect:positive 1
57,Child affect,Child,411.54,412.58,1.04,positive 1,Child affect:positive 1
58,Child gesture,Child,115.61,116.53,0.92,point at prop,Child gesture:point at prop
59,Child gesture,Child,147.22,148.4,1.18,point at prop,Child gesture:point at prop
60,Parent utterance,Parent,78.8,80.0,1.2,utterance,Parent utterance:utterance
61,Parent utterance,Parent,83.24,84.36,1.12,utterance,Parent utterance:utterance
62,Parent utterance,Parent,87.8,88.76,0.96,utterance,Parent utterance:utterance
63,Parent utterance,Parent,95.32,96.66,1.34,utterance,Parent utterance:utterance
64,Parent utterance,Parent,97.75,98.28999999999999,0.54,utterance,Parent utterance:utterance
65,Parent utterance,Parent,100.97999999999999,102.66,1.68,utterance,Parent utterance:utterance
66,Parent utterance,Parent,105.94,107.22,1.28,utterance,Parent utterance:utterance
67,Parent utterance,Parent,116.52000000000001,117.4,0.88,utterance,Parent utterance:utterance
68,Parent utterance,Parent,128.92,130.12,1.2,utterance,Parent utterance:utterance
69,Parent utterance,Parent,137.32,138.02,0.7,utterance,Parent utterance:utterance
70,Parent utterance,Parent,138.59,139.39,0.8,utterance,Parent utterance:utterance
71,Parent utterance,Parent,146.13,146.91,0.78,utterance,Parent utterance:utterance
72,Parent utterance,Parent,148.38,150.46,2.08,utterance,Parent utterance:utterance
73,Parent utterance,Parent,152.56,153.22,0.66,utterance,Parent utterance:utterance
74,Parent utterance,Parent,158.3,160.38,2.08,utterance,Parent utterance:utterance
75,Parent utterance,Parent,171.68,172.76,1.08,utterance,Parent utterance:utterance
76,Parent utterance,Parent,175.04,177.4,2.36,utterance,Parent utterance:utterance
77,Parent utterance,Parent,181.0,182.22,1.22,utterance,Parent utterance:utterance
78,Parent utterance,Parent,189.83,192.79,2.96,utterance,Parent utterance:utterance
79,Parent utterance,Parent,196.73,197.37,0.64,utterance,Parent utterance:utterance
80,Parent utterance,Parent,201.07,201.55,0.48,utterance,Parent utterance:utterance
81,Parent utterance,Parent,204.99,206.91,1.92,utterance,Parent utterance:utterance
82,Parent utterance,Parent,207.43,208.57,1.14,utterance,Parent utterance:utterance
83,Parent utterance,Parent,208.68,210.06,1.38,utterance,Parent utterance:utterance
84,Parent utterance,Parent,222.37,223.32999999999998,0.96,utterance,Parent utterance:utterance
85,Parent utterance,Parent,230.59,232.41,1.82,utterance,Parent utterance:utterance
86,Parent utterance,Parent,233.41,237.45,4.04,utterance,Parent utterance:utterance
87,Parent utterance,Parent,238.82999999999998,240.51,1.68,utterance,Parent utterance:utterance
88,Parent utterance,Parent,249.67,250.45,0.78,utterance,Parent utterance:utterance
89,Parent utterance,Parent,262.42,263.74,1.32,utterance,Parent utterance:utterance
90,Parent utterance,Parent,267.16,268.66,1.5,utterance,Parent utterance:utterance
91,Parent utterance,Parent,271.57,272.79,1.22,utterance,Parent utterance:utterance
92,Parent utterance,Parent,273.06,273.8,0.74,utterance,Parent utterance:utterance
93,Parent utterance,Parent,275.99,276.95,0.96,utterance,Parent utterance:utterance
94,Parent utterance,Parent,277.03,277.65,0.62,utterance,Parent utterance:utterance
95,Parent utterance,Parent,281.22,283.02,1.8,utterance,Parent utterance:utterance
96,Parent utterance,Parent,286.46,286.98,0.52,utterance,Parent utterance:utterance
97,Parent utterance,Parent,287.5,288.36,0.86,utterance,Parent utterance:utterance
98,Parent utterance,Parent,292.96,294.1,1.14,utterance,Parent utterance:utterance
99,Parent utterance,Parent,297.73,298.40999999999997,0.68,utterance,Parent utterance:utterance
100,Parent utterance,Parent,304.89,305.19,0.3,utterance,Parent utterance:utterance
101,Parent utterance,Parent,305.54,306.56,1.02,utterance,Parent utterance:utterance
102,Parent utterance,Parent,309.33,310.25,0.92,utterance,Parent utterance:utterance
103,Parent utterance,Parent,314.63,315.63,1.0,utterance,Parent utterance:utterance
104,Parent utterance,Parent,316.61,318.53,1.92,utterance,Parent utterance:utterance
105,Parent utterance,Parent,318.81,320.09,1.28,utterance,Parent utterance:utterance
106,Parent utterance,Parent,330.36,332.98,2.62,utterance,Parent utterance:utterance
107,Parent utterance,Parent,333.29,335.31,2.02,utterance,Parent utterance:utterance
108,Parent utterance,Parent,336.3,336.94,0.64,utterance,Parent utterance:utterance
109,Parent utterance,Parent,338.22,339.62,1.4,utterance,Parent utterance:utterance
110,Parent utterance,Parent,340.08,341.4,1.32,utterance,Parent utterance:utterance
111,Parent utterance,Parent,341.54,342.02,0.48,utterance,Parent utterance:utterance
112,Parent utterance,Parent,353.40999999999997,358.17,4.76,utterance,Parent utterance:utterance
113,Parent utterance,Parent,364.59,365.09,0.5,utterance,Parent utterance:utterance
114,Parent utterance,Parent,367.6,368.68,1.08,utterance,Parent utterance:utterance
115,Parent utterance,Parent,369.22,369.86,0.64,utterance,Parent utterance:utterance
116,Parent utterance,Parent,371.92,375.26,3.34,utterance,Parent utterance:utterance
117,Parent utterance,Parent,376.65,379.97,3.32,utterance,Parent utterance:utterance
118,Parent utterance,Parent,383.21,384.27,1.06,utterance,Parent utterance:utterance
119,Parent utterance,Parent,384.8,385.9,1.1,utterance,Parent utterance:utterance
120,Parent utterance,Parent,386.35,386.79,0.44,utterance,Parent utterance:utterance
121,Parent utterance,Parent,390.17,390.53,0.36,utterance,Parent utterance:utterance
122,Parent utterance,Parent,391.41,392.47,1.06,utterance,Parent utterance:utterance
123,Parent utterance,Parent,393.92,394.9,0.98,utterance,Parent utterance:utterance
124,Parent utterance,Parent,404.4,405.96,1.56,utterance,Parent utterance:utterance
125,Parent utterance,Parent,406.72,410.15999999999997,3.44,utterance,Parent utterance:utterance
126,Parent utterance,Parent,412.49,413.67,1.18,utterance,Parent utterance:utterance
127,Parent utterance,Parent,414.98,416.3,1.32,utterance,Parent utterance:utterance
128,Parent utterance,Parent,416.62,417.84000000000003,1.22,utterance,Parent utterance:utterance
129,Verbal scaffolding,Parent,87.8,88.76,0.96,cognitive,Verbal scaffolding:cognitive
130,Verbal scaffolding,Parent,95.32,96.66,1.34,cognitive,Verbal scaffolding:cognitive
131,Verbal scaffolding,Parent,97.75,98.28999999999999,0.54,technical,Verbal scaffolding:technical
132,Verbal scaffolding,Parent,100.97999999999999,102.66,1.68,cognitive,Verbal scaffolding:cognitive
133,Verbal scaffolding,Parent,116.52000000000001,117.4,0.88,cognitive,Verbal scaffolding:cognitive
134,Verbal scaffolding,Parent,128.92,130.12,1.2,cognitive,Verbal scaffolding:cognitive
135,Verbal scaffolding,Parent,137.32,138.02,0.7,affective,Verbal scaffolding:affective
136,Verbal scaffolding,Parent,138.59,139.39,0.8,affective,Verbal scaffolding:affective
137,Verbal scaffolding,Parent,146.13,146.91,0.78,cognitive,Verbal scaffolding:cognitive
138,Verbal scaffolding,Parent,148.38,150.46,2.08,cognitive,Verbal scaffolding:cognitive
