,action,who,s_time,e_time,t_time,sub_action,action:sub_action
0,Child utterance,Child,54.86,56.4,1.54,utterance,Child utterance:utterance
1,Child utterance,Child,59.34,61.94,2.6,utterance,Child utterance:utterance
2,Child utterance,Child,69.78,71.08,1.3,utterance,Child utterance:utterance
3,Child utterance,Child,95.8,96.68,0.88,utterance,Child utterance:utterance
4,Child utterance,Child,114.6,115.24000000000001,0.64,utterance,Child utterance:utterance
5,Child utterance,Child,136.93,137.73,0.8,utterance,Child utterance:utterance
6,Child utterance,Child,142.17000000000002,142.65,0.48,utterance,Child utterance:utterance
7,Child utterance,Child,161.66,162.72,1.06,utterance,Child utterance:utterance
8,Child utterance,Child,167.27,167.57,0.3,utterance,Child utterance:utterance
9,Child utterance,Child,169.5,169.96,0.46,utterance,Child utterance:utterance
10,Child utterance,Child,180.25,181.35,1.1,utterance,Child utterance:utterance
11,Child utterance,Child,208.05,208.85,0.8,utterance,Child utterance:utterance
12,Child utterance,Child,223.249,223.965,0.716,utterance,Child utterance:utterance
13,Child utterance,Child,237.55700000000002,238.34,0.783,utterance,Child utterance:utterance
14,Child utterance,Child,253.314,253.731,0.417,utterance,Child utterance:utterance
15,Child utterance,Child,257.022,257.739,0.717,utterance,Child utterance:utterance
16,Child utterance,Child,293.182,294.416,1.234,utterance,Child utterance:utterance
17,Child utterance,Child,300.491,302.457,1.966,utterance,Child utterance:utterance
18,Child utterance,Child,324.716,325.716,1.0,utterance,Child utterance:utterance
19,Child utterance,Child,326.05,326.433,0.383,utterance,Child utterance:utterance
20,Child utterance,Child,334.532,336.166,1.634,utterance,Child utterance:utterance
21,Child utterance,Child,346.06600000000003,347.133,1.067,utterance,Child utterance:utterance
22,Child gaze,Child,8.06,49.06,41.0,tablet,Child gaze:tablet
23,Child gaze,Child,50.14,52.4,2.26,parent,Child gaze:parent
24,Child gaze,Child,52.51,53.63,1.12,tablet,Child gaze:tablet
25,Child gaze,Child,53.71,53.95,0.24,parent,Child gaze:parent
26,Child gaze,Child,54.17,57.21,3.04,robot,Child gaze:robot
27,Child gaze,Child,57.45,59.09,1.64,tablet,Child gaze:tablet
28,Child gaze,Child,59.27,63.57,4.3,robot,Child gaze:robot
29,Child gaze,Child,63.62,65.5,1.88,tablet,Child gaze:tablet
30,Child gaze,Child,65.52,66.84,1.32,robot,Child gaze:robot
31,Child gaze,Child,66.94,67.58,0.64,parent,Child gaze:parent
