,action,who,s_time,e_time,t_time,sub_action,action:sub_action
0,Child utterance,Child,1.94,3.04,1.1,utterance,Child utterance:utterance
1,Child utterance,Child,5.62,9.24,3.62,utterance,Child utterance:utterance
2,Child utterance,Child,10.18,11.28,1.1,utterance,Child utterance:utterance
3,Child utterance,Child,17.12,18.42,1.3,utterance,Child utterance:utterance
4,Child utterance,Child,66.69,68.75,2.06,utterance,Child utterance:utterance
5,Child utterance,Child,84.67,85.09,0.42,utterance,Child utterance:utterance
6,Child utterance,Child,86.56,87.16,0.6,utterance,Child utterance:utterance
7,Child utterance,Child,88.9,89.44,0.54,utterance,Child utterance:utterance
8,Child utterance,Child,90.93,91.73,0.8,utterance,Child utterance:utterance
9,Child utterance,Child,94.47,95.31,0.84,utterance,Child utterance:utterance
10,Child utterance,Child,97.31,98.07,0.76,utterance,Child utterance:utterance
11,Child utterance,Child,99.53,100.33,0.8,utterance,Child utterance:utterance
12,Child utterance,Child,102.45,102.91,0.46,utterance,Child utterance:utterance
13,Child utterance,Child,104.57,105.53,0.96,utterance,Child utterance:utterance
14,Child utterance,Child,106.89,107.63,0.74,utterance,Child utterance:utterance
15,Child utterance,Child,113.87,114.25,0.38,utterance,Child utterance:utterance
16,Child utterance,Child,115.44,116.03999999999999,0.6,utterance,Child utterance:utterance
17,Child utterance,Child,118.69,119.21000000000001,0.52,utterance,Child utterance:utterance
18,Child utterance,Child,120.09,120.71,0.62,utterance,Child utterance:utterance
19,Child utterance,Child,124.84,125.28,0.44,utterance,Child utterance:utterance
20,Child utterance,Child,131.13,131.59,0.46,utterance,Child utterance:utterance
21,Child utterance,Child,131.88,132.9,1.02,utterance,Child utterance:utterance
22,Child utterance,Child,134.76,135.4,0.64,utterance,Child utterance:utterance
23,Child utterance,Child,139.62,140.57999999999998,0.96,utterance,Child utterance:utterance
24,Child utterance,Child,144.79,147.03,2.24,utterance,Child utterance:utterance
25,Child utterance,Child,152.75,153.93,1.18,utterance,Child utterance:utterance
26,Child utterance,Child,159.12,159.82,0.7,utterance,Child utterance:utterance
27,Child utterance,Child,161.87,162.75,0.88,utterance,Child utterance:utterance
28,Child utterance,Child,166.63,167.11,0.48,utterance,Child utterance:utterance
29,Child utterance,Child,168.97,169.57,0.6,utterance,Child utterance:utterance
30,Child utterance,Child,172.53,173.41,0.88,utterance,Child utterance:utterance
31,Child utterance,Child,180.33,181.19,0.86,utterance,Child utterance:utterance
32,Child utterance,Child,181.57,182.79,1.22,utterance,Child utterance:utterance
33,Child utterance,Child,185.38,186.06,0.68,utterance,Child utterance:utterance
34,Child utterance,Child,186.78,187.1,0.32,utterance,Child utterance:utterance
35,Child utterance,Child,187.33,188.43,1.1,utterance,Child utterance:utterance
36,Child utterance,Child,193.95,194.43,0.48,utterance,Child utterance:utterance
37,Child utterance,Child,196.41,198.57,2.16,utterance,Child utterance:utterance
38,Child utterance,Child,199.74,200.38,0.64,utterance,Child utterance:utterance
39,Child utterance,Child,201.24,201.82,0.58,utterance,Child utterance:utterance
40,Child utterance,Child,202.81,204.93,2.12,utterance,Child utterance:utterance
41,Child utterance,Child,206.97,207.89,0.92,utterance,Child utterance:utterance
42,Child utterance,Child,208.89,209.61,0.72,utterance,Child utterance:utterance
43,Child utterance,Child,213.93,214.85,0.92,utterance,Child utterance:utterance
44,Child utterance,Child,216.22,216.6,0.38,utterance,Child utterance:utterance
45,Child utterance,Child,219.51,220.27,0.76,utterance,Child utterance:utterance
46,Child utterance,Child,228.92000000000002,229.64,0.72,utterance,Child utterance:utterance
47,Child utterance,Child,234.01,234.41,0.4,utterance,Child utterance:utterance
48,Child utterance,Child,243.61,244.07,0.46,utterance,Child utterance:utterance
49,Child utterance,Child,245.0,245.94,0.94,utterance,Child utterance:utterance
50,Child utterance,Child,256.9,257.64,0.74,utterance,Child utterance:utterance
51,Child utterance,Child,263.66,264.6,0.94,utterance,Child utterance:utterance
52,Child utterance,Child,265.97,267.29,1.32,utterance,Child utterance:utterance
53,Child utterance,Child,270.83,272.75,1.92,utterance,Child utterance:utterance
54,Child utterance,Child,276.77,278.63,1.86,utterance,Child utterance:utterance
55,Child utterance,Child,289.27,290.01,0.74,utterance,Child utterance:utterance
56,Child utterance,Child,291.28,291.74,0.46,utterance,Child utterance:utterance
57,Child utterance,Child,293.7,392.3,98.6,missing data,Child utterance:missing data
58,Child utterance,Child,402.24,403.84000000000003,1.6,utterance,Child utterance:utterance
59,Child utterance,Child,408.15,408.73,0.58,utterance,Child utterance:utterance
60,Child utterance,Child,412.47,413.23,0.76,utterance,Child utterance:utterance
61,Child utterance,Child,414.19,414.93,0.74,utterance,Child utterance:utterance
62,Child utterance,Child,416.46,417.7,1.24,utterance,Child utterance:utterance
63,Child utterance,Child,419.24,419.74,0.5,utterance,Child utterance:utterance
64,Child utterance,Child,422.41,422.85,0.44,utterance,Child utterance:utterance
65,Child utterance,Child,424.77,428.31,3.54,utterance,Child utterance:utterance
66,Child utterance,Child,429.21,431.69,2.48,utterance,Child utterance:utterance
67,Child gaze,Child,7.92,11.76,3.84,props,Child gaze:props
68,Child gaze,Child,11.92,23.88,11.96,robot,Child gaze:robot
69,Child gaze,Child,25.1,29.6,4.5,robot,Child gaze:robot
70,Child gaze,Child,32.2,41.5,9.3,robot,Child gaze:robot
71,Child gaze,Child,43.9,44.6,0.7,parent,Child gaze:parent
72,Child gaze,Child,48.48,51.64,3.16,robot,Child gaze:robot
73,Child gaze,Child,51.74,53.74,2.0,props,Child gaze:props
74,Child gaze,Child,53.82,55.22,1.4,robot,Child gaze:robot
75,Child gaze,Child,55.32,55.96,0.64,parent,Child gaze:parent
76,Child gaze,Child,56.04,60.56,4.52,robot,Child gaze:robot
77,Child gaze,Child,61.1,62.78,1.68,parent,Child gaze:parent
78,Child gaze,Child,66.66,68.98,2.32,parent,Child gaze:parent
79,Child gaze,Child,71.62,77.74,6.12,robot,Child gaze:robot
80,Child gaze,Child,77.76,80.64,2.88,props,Child gaze:props
81,Child gaze,Child,80.72,81.36,0.64,robot,Child gaze:robot
82,Child gaze,Child,81.44,99.32,17.88,props,Child gaze:props
83,Child gaze,Child,99.38,101.74000000000001,2.36,parent,Child gaze:parent
